"","from","to","weight"
"1","Al Golden","George DeLeone",2
"2","Al Golden","James Coley",3
"3","Al Golden","Jedd Fisch",2
"4","Al Golden","Mark D'Onofrio",10
"5","Al Golden","Matt Rhule",3
"6","Al Groh","Al Golden",5
"7","Al Groh","Bill Musgrave",2
"8","Al Groh","Bob Diaco",1
"9","Al Groh","Bob Pruett",1
"10","Al Groh","Gregg Brandon",1
"11","Al Groh","Mike Groh",3
"12","Al Groh","Mike London",2
"13","Al Groh","Ron Prince",3
"14","Andy Avalos","Kane Ioane",1
"15","Andy Avalos","Spencer Danielson",1
"16","Andy Avalos","Tim Plough",1
"17","Andy McCollum","Blake Anderson",2
"18","Andy McCollum","Darin Hinshaw",3
"19","Andy McCollum","Larry Fedora",2
"20","Andy McCollum","Mark Criner",1
"21","Andy McCollum","Miles Aldridge",1
"22","Andy McCollum","Steve Campbell",1
"23","Andy McCollum","Steve Davis",3
"24","Art Briles","Alan Weddell",2
"25","Art Briles","Brian Norwood",3
"26","Art Briles","Kendal Briles",1
"27","Art Briles","Phil Bennett",5
"28","Art Briles","Philip Montgomery",8
"29","Art Briles","Randy Clements",5
"30","Art Briles","Ron Harris",3
"31","Barry Alvarez","Bret Bielema",2
"32","Barry Alvarez","Brian White",6
"33","Barry Alvarez","Kevin Cosgrove",4
"34","Barry Alvarez","Paul Chryst",1
"35","Barry Odom","DeMontie Cross",2
"36","Barry Odom","Derek Dooley",2
"37","Barry Odom","Josh Heupel",2
"38","Barry Odom","Ryan Walters",3
"39","Bill Blankenship","Brent Guy",4
"40","Bill Blankenship","Denver Johnson",1
"41","Bill Blankenship","Greg Peterson",3
"42","Bill Callahan","Jay Norvell",3
"43","Bill Callahan","Kevin Cosgrove",4
"44","Bill Callahan","Shawn Watson",1
"45","Bill Clark","Bryant Vincent",4
"46","Bill Clark","David Reeves",5
"47","Bill Clark","Duwan Walker",1
"48","Bill Clark","Les Koenning",1
"49","Bill Cubit","Bill Miller",1
"50","Bill Cubit","Dave Cohen",2
"51","Bill Cubit","George McDonald",2
"52","Bill Cubit","Mike Phair",1
"53","Bill Cubit","Rich Nagy",1
"54","Bill Cubit","Ryan Cubit",1
"55","Bill Cubit","Scott Shafer",2
"56","Bill Cubit","Steve Morrison",2
"57","Bill Cubit","Tim Banks",1
"58","Bill Doba","Mike Levenseller",5
"59","Bill Doba","Robb Akey",4
"60","Bill Lynch","Bob Bartolomeo",3
"61","Bill Lynch","Brian George",4
"62","Bill Lynch","Joe Palcic",4
"63","Bill Lynch","Matt Canada",4
"64","Bill Lynch","Rich Spisak",1
"65","Bill Lynch","Ted Huber",1
"66","Bill O'Brien","John Butler",1
"67","Bill O'Brien","Ted Roof",1
"68","Bill Snyder","Andre Coleman",1
"69","Bill Snyder","Blake Seiler",1
"70","Bill Snyder","Bob Elliott",4
"71","Bill Snyder","Bret Bielema",2
"72","Bill Snyder","Brian Norwood",1
"73","Bill Snyder","Charlie Dickey",1
"74","Bill Snyder","Chris Cosh",3
"75","Bill Snyder","Collin Klein",1
"76","Bill Snyder","Dana Dimel",9
"77","Bill Snyder","Del Miller",11
"78","Bill Snyder","Greg Peterson",2
"79","Bill Snyder","Phil Bennett",2
"80","Bill Snyder","Ron Hudson",3
"81","Bill Snyder","Tom Hayes",6
"82","Bill Snyder","Vic Koenning",1
"83","Bill Stewart","Jeff Casteel",3
"84","Bill Stewart","Jeff Mullen",3
"85","Billy Napier","Michael Desormeaux",1
"86","Billy Napier","Patrick Toney",2
"87","Billy Napier","Rob Sale",3
"88","Billy Napier","Ron Roberts",2
"89","Billy Napier","Tim Leger",1
"90","Blake Anderson","Anthony Tucker",1
"91","Blake Anderson","Buster Faulkner",3
"92","Blake Anderson","David Duggan",1
"93","Blake Anderson","Ephraim Banda",1
"94","Blake Anderson","Glen Elarbee",2
"95","Blake Anderson","Joe Cauthen",5
"96","Blake Anderson","Keith Heckendorf",2
"97","Blake Anderson","Walt Bell",2
"98","Bo Pelini","Carl Pelini",4
"99","Bo Pelini","John Papuchis",3
"100","Bo Pelini","Shawn Watson",3
"101","Bo Pelini","Tim Beck",4
"102","Bob Davie","Bob DeBesse",6
"103","Bob Davie","Calvin Magee",1
"104","Bob Davie","Greg Mattison",2
"105","Bob Davie","Jeff Mills",2
"106","Bob Davie","Joe Dailey",1
"107","Bob Davie","Jordan Peterson",1
"108","Bob Davie","Kevin Cosgrove",5
"109","Bob Davie","Kevin Rogers",2
"110","Bob Diaco","Anthony Poindexter",3
"111","Bob Diaco","Frank Verducci",2
"112","Bob Diaco","Mike Cummings",3
"113","Bob Diaco","Vincent Brown",3
"114","Bob Pruett","Bill Wilt",3
"115","Bob Pruett","Ed Zaunbrecher",2
"116","Bob Pruett","Kevin Kelly",2
"117","Bob Pruett","Larry Kueck",1
"118","Bob Simmons","Del Miller",1
"119","Bob Simmons","Mike Cassity",1
"120","Bob Stoops","Bill Bedenbaugh",1
"121","Bob Stoops","Bo Pelini",1
"122","Bob Stoops","Brent Venables",12
"123","Bob Stoops","Chuck Long",4
"124","Bob Stoops","Jay Norvell",4
"125","Bob Stoops","Josh Heupel",4
"126","Bob Stoops","Kevin Wilson",9
"127","Bob Stoops","Lincoln Riley",2
"128","Bob Stoops","Mark Mangino",2
"129","Bob Stoops","Mike Stoops",9
"130","Bob Toledo","Al Borges",1
"131","Bob Toledo","Bobby Field",1
"132","Bob Toledo","Dan Dodd",4
"133","Bob Toledo","Gary Bernardi",1
"134","Bob Toledo","Greg Davis Jr.",1
"135","Bob Toledo","Kelly Skipper",2
"136","Bob Toledo","O'Neill Gilbert",1
"137","Bob Toledo","Phil Snow",2
"138","Bob Toledo","Steve Stanard",3
"139","Bob Toledo","Thom Kaumeyer",1
"140","Bobby Bowden","Jeff Bowden",6
"141","Bobby Bowden","Jimbo Fisher",3
"142","Bobby Bowden","Mark Richt",1
"143","Bobby Bowden","Mickey Andrews",8
"144","Bobby Hauck","Brent Myers",1
"145","Bobby Hauck","J.D. Williams",1
"146","Bobby Hauck","Kraig Paulson",2
"147","Bobby Hauck","Rob Phenicie",2
"148","Bobby Hauck","Tim Hauck",2
"149","Bobby Hauck","Timm Rosenbach",2
"150","Bobby Johnson","Bruce Fowler",8
"151","Bobby Johnson","Jamie Bryant",1
"152","Bobby Johnson","Ted Cain",8
"153","Bobby Keasler","Mike Collins",1
"154","Bobby Keasler","Roger Carr",1
"155","Bobby Keasler","Stan Humphries",1
"156","Bobby Keasler","Tommy Condell",1
"157","Bobby Petrino","Brian VanGorder",1
"158","Bobby Petrino","Chris Klenakis",1
"159","Bobby Petrino","Garrick McGee",4
"160","Bobby Petrino","Kevin Wolthausen",1
"161","Bobby Petrino","Lonnie Galloway",3
"162","Bobby Petrino","Mike Cassity",3
"163","Bobby Petrino","Mike Gillhamer",1
"164","Bobby Petrino","Mike Summers",2
"165","Bobby Petrino","Nick Holt",1
"166","Bobby Petrino","Paul Petrino",6
"167","Bobby Petrino","Peter Sirmon",1
"168","Bobby Petrino","Todd Grantham",3
"169","Bobby Petrino","Willy Robinson",4
"170","Bobby Ross","John Mumford",3
"171","Bobby Ross","Kevin Ross",3
"172","Bobby Wallace","Charlie Fisher",2
"173","Bobby Wallace","Dave Brock",3
"174","Bobby Wallace","Raymond Monica",6
"175","Bobby Wallace","Willie Slater",1
"176","Bobby Wilder","Brian Scott",6
"177","Bobby Wilder","David Blackwell",1
"178","Bobby Wilder","Grady Brown",1
"179","Bobby Wilder","Rich Nagy",5
"180","Bobby Wilder","Ron Whitcomb",1
"181","Bobby Williams","Bill Miller",3
"182","Bobby Williams","Morris Watts",2
"183","Brad Lambert","Chip West",1
"184","Brad Lambert","Glenn Spencer",1
"185","Brad Lambert","Jeff Mullen",3
"186","Brad Lambert","Matt Wallerstedt",3
"187","Brad Lambert","Shane Montgomery",1
"188","Brady Hoke","Al Borges",5
"189","Brady Hoke","Don Treadwell",1
"190","Brady Hoke","Doug Nussmeier",1
"191","Brady Hoke","Ed Stults",2
"192","Brady Hoke","Eddie Faulkner",1
"193","Brady Hoke","Greg Mattison",4
"194","Brady Hoke","Jeff Hecklinski",2
"195","Brady Hoke","Kurt Mattix",2
"196","Brady Hoke","Mark Smith",6
"197","Brady Hoke","Rocky Long",2
"198","Brady Hoke","Stan Parrish",3
"199","Brent Brennan","Andrew Sowder",1
"200","Brent Brennan","Derrick Odum",2
"201","Brent Brennan","Kevin McGiven",4
"202","Brent Guy","Darrell Dickey",2
"203","Brent Guy","Mark Johnson",4
"204","Brent Guy","Mike Santiago",2
"205","Bret Bielema","Charlie Partridge",2
"206","Bret Bielema","Chris Ash",3
"207","Bret Bielema","Dan Enos",3
"208","Bret Bielema","Dave Doeren",3
"209","Bret Bielema","Jim Chaney",2
"210","Bret Bielema","Matt Canada",1
"211","Bret Bielema","Mike Hankwitz",2
"212","Bret Bielema","Paul Chryst",6
"213","Bret Bielema","Paul Rhoads",1
"214","Bret Bielema","Robb Smith",3
"215","Bret Bielema","Ryan Walters",1
"216","Bret Bielema","Tony Petersen",1
"217","Brian Kelly","Bob Diaco",6
"218","Brian Kelly","Brian VanGorder",3
"219","Brian Kelly","Charley Molnar",2
"220","Brian Kelly","Chip Long",3
"221","Brian Kelly","Chuck Martin",2
"222","Brian Kelly","Clark Lea",3
"223","Brian Kelly","Jeff Quinn",3
"224","Brian Kelly","Joe Tresey",3
"225","Brian Kelly","John Jancek",1
"226","Brian Kelly","Kerry Cooks",2
"227","Brian Kelly","Marcus Freeman",1
"228","Brian Kelly","Mike Denbrock",1
"229","Brian Kelly","Mike Elko",1
"230","Brian Kelly","Mike Elston",1
"231","Brian Kelly","Mike Sanford Jr.",2
"232","Brian Kelly","Tommy Rees",2
"233","Brian Knorr","Greg Gregory",3
"234","Brian Knorr","Phil Earley",1
"235","Brian Knorr","Tim DeRuyter",3
"236","Brian Knorr","Tim Kish",1
"237","Brian Polian","Bill Teerlinck",4
"238","Brian Polian","Nick Rolovich",3
"239","Brian Polian","Scott Boone",3
"240","Brian Polian","Scottie Hazelton",1
"241","Brian Polian","Tim Cramsey",1
"242","Bronco Mendenhall","Brandon Doman",2
"243","Bronco Mendenhall","Jaime Hill",3
"244","Bronco Mendenhall","Kelly Poppinga",4
"245","Bronco Mendenhall","Nick Howell",9
"246","Bronco Mendenhall","Robert Anae",12
"247","Bruce Snyder","John Pettas",1
"248","Bruce Snyder","Phil Snow",1
"249","Bryan Harsin","Andy Avalos",3
"250","Bryan Harsin","Bush Hamdan",1
"251","Bryan Harsin","Derek Mason",1
"252","Bryan Harsin","Eliah Drinkwitz",2
"253","Bryan Harsin","Eric Kiesau",2
"254","Bryan Harsin","Jeff Schmedding",2
"255","Bryan Harsin","Marcel Yates",2
"256","Bryan Harsin","Mike Bobo",1
"257","Bryan Harsin","Mike Sanford Jr.",1
"258","Bryan Harsin","Scott Huff",1
"259","Bryan Harsin","Spencer Danielson",2
"260","Bryan Harsin","Zak Hill",4
"261","Buddy Teevens","A.J. Christoff",2
"262","Buddy Teevens","Bill Cubit",1
"263","Buddy Teevens","David Kelly",1
"264","Buddy Teevens","Mark Banker",1
"265","Buddy Teevens","Mike Sanford Sr.",1
"266","Buddy Teevens","Tom Williams",2
"267","Butch Davis","Andrew Breiner",1
"268","Butch Davis","Brent Guy",2
"269","Butch Davis","Chuck Pagano",1
"270","Butch Davis","Everett Withers",3
"271","Butch Davis","Greg Schiano",1
"272","Butch Davis","Jeff Copp",2
"273","Butch Davis","Jerod Kruse",2
"274","Butch Davis","John Shoop",4
"275","Butch Davis","Larry Coker",1
"276","Butch Davis","Rich Skrosky",4
"277","Butch Jones","Bob Shoop",2
"278","Butch Jones","John Jancek",6
"279","Butch Jones","Keith Heckendorf",1
"280","Butch Jones","Larry Scott",1
"281","Butch Jones","Mike Bajakian",8
"282","Butch Jones","Mike DeBord",2
"283","Butch Jones","Tim Banks",5
"284","Cam Cameron","Hal Hunter",2
"285","Cam Cameron","James Bell",2
"286","Carl Franks","Bob Trott",2
"287","Carl Franks","Jim Pry",1
"288","Carl Franks","Ted Roof",1
"289","Carl Pelini","Brian Wright",2
"290","Carl Pelini","Marvin Sanders",1
"291","Carl Pelini","Pete Rekstis",1
"292","Carl Torbush","Ken Browning",1
"293","Carl Torbush","Mike O'Cain",1
"294","Chad Lunsford","Bob DeBesse",3
"295","Chad Lunsford","Doug Ruse",1
"296","Chad Lunsford","Scot Sloan",4
"297","Chad Morris","Joe Craddock",5
"298","Chad Morris","John Chavis",2
"299","Chad Morris","Van Malone",3
"300","Chan Gailey","Bill O'Brien",1
"301","Chan Gailey","Buddy Geis",1
"302","Chan Gailey","John Bond",1
"303","Chan Gailey","Jon Tenuta",6
"304","Chan Gailey","Patrick Nix",4
"305","Charles Huff","Lance Guidry",1
"306","Charles Huff","Tim Cramsey",1
"307","Charley Molnar","John Bond",1
"308","Charley Molnar","Mike Kruczek",1
"309","Charley Molnar","Phil Elmassian",2
"310","Charlie Partridge","Brian Wright",2
"311","Charlie Partridge","Roc Bellantoni",3
"312","Charlie Partridge","Travis Trickett",1
"313","Charlie Strong","Brian Jean-Mary",3
"314","Charlie Strong","Jay Norvell",1
"315","Charlie Strong","Joe Wickline",2
"316","Charlie Strong","Kerwin Bell",1
"317","Charlie Strong","Mike Sanford Sr.",1
"318","Charlie Strong","Shawn Watson",2
"319","Charlie Strong","Sterlin Gilbert",3
"320","Charlie Strong","Vance Bedford",7
"321","Charlie Weatherbie","Bob Trott",2
"322","Charlie Weatherbie","Gene McKeehan",1
"323","Charlie Weatherbie","Kim Dameron",3
"324","Charlie Weatherbie","Manny Michel",1
"325","Charlie Weatherbie","Mark Hudspeth",1
"326","Charlie Weatherbie","Mike Vaught",1
"327","Charlie Weatherbie","Nate Kaczor",1
"328","Charlie Weatherbie","Phil Elmassian",1
"329","Charlie Weatherbie","Steve Farmer",2
"330","Charlie Weatherbie","Tim DeRuyter",1
"331","Charlie Weatherbie","Todd Berry",2
"332","Charlie Weatherbie","Tommy Condell",1
"333","Charlie Weatherbie","Troy Reffett",1
"334","Charlie Weis","Clint Bowen",1
"335","Charlie Weis","Corwin Brown",2
"336","Charlie Weis","Dave Campo",1
"337","Charlie Weis","John Reagan",1
"338","Charlie Weis","Jon Tenuta",1
"339","Charlie Weis","Michael Haywood",4
"340","Charlie Weis","Rick Minter",2
"341","Chip Kelly","Jerry Azzinaro",4
"342","Chip Kelly","Justin Frye",3
"343","Chip Kelly","Mark Helfrich",4
"344","Chip Kelly","Nick Aliotti",4
"345","Chip Lindsey","Brandon Hall",3
"346","Chip Lindsey","Luke Meadows",1
"347","Chip Lindsey","Ryan Pugh",2
"348","Chris Ash","Andy Buh",1
"349","Chris Ash","Bill Busch",1
"350","Chris Ash","Drew Mehringer",1
"351","Chris Ash","Jay Niemann",3
"352","Chris Ash","Jerry Kill",1
"353","Chris Ash","John McNulty",2
"354","Chris Ash","Noah Joseph",2
"355","Chris Ault","Andy Buh",2
"356","Chris Ault","Barry Sacks",3
"357","Chris Ault","Chris Klenakis",6
"358","Chris Ault","Dave Fipp",1
"359","Chris Ault","Ken Wilson",1
"360","Chris Ault","Mike Bradeson",1
"361","Chris Ault","Nick Rolovich",1
"362","Chris Ault","Nigel Burton",2
"363","Chris Ault","Tim DeRuyter",2
"364","Chris Creighton","Aaron Keen",3
"365","Chris Creighton","Brad McCaslin",2
"366","Chris Creighton","Kalen DeBoer",3
"367","Chris Creighton","Neal Neathery",5
"368","Chris Klieman","Courtney Messingham",3
"369","Chris Klieman","Joe Klanderman",2
"370","Chris Klieman","Scottie Hazelton",1
"371","Chris Petersen","Brent Pease",1
"372","Chris Petersen","Bryan Harsin",5
"373","Chris Petersen","Bush Hamdan",2
"374","Chris Petersen","Jimmy Lake",4
"375","Chris Petersen","Jonathan Smith",4
"376","Chris Petersen","Justin Wilcox",4
"377","Chris Petersen","Matt Lubick",2
"378","Chris Petersen","Pete Kwiatkowski",10
"379","Chris Petersen","Robert Prince",2
"380","Chris Scelfo","Eric Schumann",5
"381","Chris Scelfo","Frank Scelfo",7
"382","Chris Scelfo","Pete McGinnis",2
"383","Chris Tormey","Jeff Mills",4
"384","Chris Tormey","Phil Earley",4
"385","Chuck Amato","Buddy Green",2
"386","Chuck Amato","Marc Trestman",2
"387","Chuck Amato","Marty Galbraith",2
"388","Chuck Amato","Noel Mazzone",2
"389","Chuck Amato","Norm Chow",1
"390","Chuck Amato","Reggie Herring",1
"391","Chuck Amato","Steve Dunlap",2
"392","Chuck Long","Bob Elliott",2
"393","Chuck Long","Del Miller",3
"394","Chuck Martin","Eric Koehler",8
"395","Chuck Martin","George Barnett",6
"396","Chuck Martin","John Hauser",6
"397","Chuck Martin","Matt Pawlowski",4
"398","Chuck Martin","Spence Nowinsky",4
"399","Clark Lea","David Raih",1
"400","Clark Lea","Jesse Minter",1
"401","Clay Helton","Clancy Pendergast",4
"402","Clay Helton","Graham Harrell",3
"403","Clay Helton","Tee Martin",3
"404","Clay Helton","Todd Orlando",2
"405","Craig Bohl","Brent Vigen",4
"406","Craig Bohl","Jake Dickert",1
"407","Craig Bohl","Jay Sawvel",2
"408","Craig Bohl","Scottie Hazelton",2
"409","Craig Bohl","Steve Stanard",3
"410","Craig Bohl","Tim Polasek",1
"411","Craig Cirbus","Charlie Donner",1
"412","Craig Cirbus","Joe Reich",1
"413","Curtis Johnson","Eric Price",4
"414","Curtis Johnson","Jason Rollins",1
"415","Curtis Johnson","Jon Sumrall",3
"416","Curtis Johnson","Lionel Washington",4
"417","D.J. Durkin","Andy Buh",2
"418","D.J. Durkin","Jimmy Brumbaugh",1
"419","D.J. Durkin","Walt Bell",2
"420","Dabo Swinney","Billy Napier",2
"421","Dabo Swinney","Brent Venables",8
"422","Dabo Swinney","Chad Morris",4
"423","Dabo Swinney","Charlie Harbison",4
"424","Dabo Swinney","Jeff Scott",5
"425","Dabo Swinney","Kevin Steele",3
"426","Dabo Swinney","Marion Hobby",4
"427","Dabo Swinney","Tony Elliott",6
"428","Dan Enos","Joe Tumpkin",5
"429","Dan Enos","Mike Cummings",4
"430","Dan Enos","Morris Watts",1
"431","Dan Hawkins","Bob Gregory",1
"432","Dan Hawkins","Chris Petersen",5
"433","Dan Hawkins","Eric Kiesau",2
"434","Dan Hawkins","Mark Helfrich",3
"435","Dan Hawkins","Ron Collins",9
"436","Dan McCarney","Barney Cotton",2
"437","Dan McCarney","Chris Cosh",1
"438","Dan McCarney","Clint Bowen",1
"439","Dan McCarney","John Skladany",7
"440","Dan McCarney","Jon Skladany",3
"441","Dan McCarney","Mike Canales",5
"442","Dan McCarney","Steve Brickey",2
"443","Dan McCarney","Steve Loney",2
"444","Dan Mullen","Billy Gonzales",6
"445","Dan Mullen","Brian Johnson",1
"446","Dan Mullen","Carl Torbush",1
"447","Dan Mullen","Chris Wilson",4
"448","Dan Mullen","Geoff Collins",3
"449","Dan Mullen","John Hevesy",6
"450","Dan Mullen","Les Koenning",5
"451","Dan Mullen","Manny Diaz",2
"452","Dan Mullen","Peter Sirmon",1
"453","Dan Mullen","Todd Grantham",5
"454","Dana Dimel","Bradley Dale Peveto",3
"455","Dana Dimel","Clancy Barone",2
"456","Dana Dimel","Dave Warner",3
"457","Dana Dimel","Dick Bumpas",3
"458","Dana Dimel","Mark Stoops",1
"459","Dana Dimel","Mike Canales",3
"460","Dana Dimel","Mike Cox",3
"461","Dana Dimel","Phil Davis",1
"462","Dana Holgorsen","Brandon Jones",2
"463","Dana Holgorsen","Doug Belk",1
"464","Dana Holgorsen","Jake Spavital",2
"465","Dana Holgorsen","Jeff Casteel",1
"466","Dana Holgorsen","Joe Cauthen",2
"467","Dana Holgorsen","Joe DeForest",1
"468","Dana Holgorsen","Joe Wickline",1
"469","Dana Holgorsen","Keith Patterson",2
"470","Dana Holgorsen","Marquel Blackwell",1
"471","Dana Holgorsen","Shannon Dawson",4
"472","Dana Holgorsen","Tony Gibson",5
"473","Danny Gonzales","Derek Warehime",2
"474","Danny Gonzales","Rocky Long",2
"475","Danny Hope","Donn Landholm",2
"476","Danny Hope","Gary Emanuel",2
"477","Danny Hope","Gary Nord",4
"478","Danny Hope","Tim Tibesar",1
"479","Darrell Dickey","Fred Bleil",1
"480","Darrell Dickey","Gary DeLoach",3
"481","Darrell Dickey","Kenny Evans",3
"482","Darrell Dickey","Ramon Flanigan",5
"483","Darrell Hazell","Greg Hudson",3
"484","Darrell Hazell","John Shoop",3
"485","Darrell Hazell","Marcus Freeman",1
"486","Darrell Hazell","Ross Els",1
"487","Darrell Hazell","Terry Malone",1
"488","Dave Aranda","Jeff Grimes",1
"489","Dave Aranda","Larry Fedora",1
"490","Dave Aranda","Ron Roberts",2
"491","Dave Baldwin","Barry Sacks",1
"492","Dave Baldwin","Paul Arslanian",1
"493","Dave Baldwin","Steve Graf",1
"494","Dave Christensen","Chris Tormey",2
"495","Dave Christensen","Gregg Brandon",2
"496","Dave Christensen","Jim Harding",1
"497","Dave Christensen","Marcus Arroyo",2
"498","Dave Christensen","Marty English",3
"499","Dave Clawson","Jay Sawvel",2
"500","Dave Clawson","Lyle Hemphill",3
"501","Dave Clawson","Mike Elko",8
"502","Dave Clawson","Shannon Morrison",1
"503","Dave Clawson","Warren Ruggiero",13
"504","Dave Doeren","Dave Huxtable",7
"505","Dave Doeren","Des Kitchings",1
"506","Dave Doeren","Eliah Drinkwitz",3
"507","Dave Doeren","George McDonald",1
"508","Dave Doeren","Jay Niemann",2
"509","Dave Doeren","Matt Canada",4
"510","Dave Doeren","Rod Carey",1
"511","Dave Doeren","Ted Roof",1
"512","Dave Doeren","Tim Beck",2
"513","Dave Doeren","Tony Gibson",3
"514","Dave Wannstedt","Frank Cignetti Jr.",2
"515","Dave Wannstedt","Matt Cavanaugh",4
"516","Dave Wannstedt","Paul Rhoads",3
"517","Dave Wannstedt","Phil Bennett",3
"518","David Bailiff","Billy Lynch",4
"519","David Bailiff","Brian Stewart",1
"520","David Bailiff","Chris Thurmond",5
"521","David Bailiff","Chuck Driesbach",5
"522","David Bailiff","Craig Naivar",2
"523","David Bailiff","David Beaty",1
"524","David Bailiff","Ed Zaunbrecher",1
"525","David Bailiff","John Reagan",3
"526","David Bailiff","Larry Edmondson",3
"527","David Bailiff","Tom Herman",2
"528","David Beaty","Clint Bowen",4
"529","David Beaty","Doug Meacham",2
"530","David Beaty","Kenny Perry",3
"531","David Beaty","Rob Likens",2
"532","David Cutcliffe","Art Kaufman",1
"533","David Cutcliffe","Ben Albert",4
"534","David Cutcliffe","Chuck Driesbach",3
"535","David Cutcliffe","Don Lindsey",1
"536","David Cutcliffe","Jeff Faris",1
"537","David Cutcliffe","Jim Knowles",8
"538","David Cutcliffe","John Latina",5
"539","David Cutcliffe","Kurt Roper",5
"540","David Cutcliffe","Marion Hobby",3
"541","David Cutcliffe","Matt Guerrieri",4
"542","David Cutcliffe","Matt Luke",4
"543","David Cutcliffe","Mike MacIntyre",2
"544","David Cutcliffe","Re'quan Boyette",1
"545","David Cutcliffe","Scottie Montgomery",3
"546","David Cutcliffe","Zac Roper",5
"547","David Elson","Kevin Wright",1
"548","David Elson","Mike Dietzel",1
"549","David Elson","Walt Wells",1
"550","David Shaw","Derek Mason",3
"551","David Shaw","Jason Tarver",1
"552","David Shaw","Lance Anderson",8
"553","David Shaw","Mike Bloomgren",5
"554","David Shaw","Pep Hamilton",2
"555","David Shaw","Tavita Pritchard",4
"556","Dean Pees","Doug Martin",1
"557","Dean Pees","Greg Colby",2
"558","Dean Pees","Mike Dietzel",1
"559","Dean Pees","Mike Drake",4
"560","Dennis Erickson","Craig Bray",8
"561","Dennis Erickson","Noel Mazzone",2
"562","Dennis Erickson","Rich Olson",3
"563","Dennis Erickson","Tim Lappano",3
